word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,trial.started,fixation.started,fixation.stopped,text_3.started,key_resp.started,text_3.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks_.started,text_2.started,thanks_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,,,,,,CONGURENT,INCONGURENT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.018087,0.0364918,1.0048554,,,,,,,,,,,,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE,blue,C,b,0,0,0,r,0,4.5037449,None,0,0,0,3,1.0512985,,,,,1.0378966,1.0512985,1.5044143,1.5044143,1.5044143,6.0061842,6.0349681,r,0,4.5037449,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,4.5037449,,,,,,,,,,,,,,,,,,,
RED,red,C,r,1,1,0,r,1,0.3040625,None,0,1,1,0,6.0504689,,,,,6.044105,6.0504689,6.5362463,6.5362463,6.5362463,,6.8554828,r,1,0.3040625,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.3040625,,,,,,,,,,,,,,,,,,,
RED,blue,I,b,2,2,0,r,0,0.3586439,None,0,2,2,1,6.8708232,,,,,6.8573814,6.8708232,7.3538842,7.3538842,7.3538842,,7.7219144,r,0,0.3586439,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,2.027092,0.3586439,,Paired Samples T-Test,,,,,,,,,,,,,,,,
BLUE,red,I,r,3,3,0,r,1,1.1194103,None,0,3,3,2,7.7366473,,,,,7.7273218,7.7366473,8.2374061,8.2374061,8.2374061,,9.3706372,r,1,1.1194103,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,4.6644606,1.1194103,,Paired Samples T-Test,,,,,,,,,,,,,,,,
RED,blue,I,b,4,0,1,r,0,0.7552522,None,1,0,4,1,9.3864217,,,,,9.3768372,9.3864217,9.8708411,9.8708411,9.8708411,,10.6388073,r,0,0.7552522,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.0536601,0.7552522,,Measure 1,,,,Measure 2,,t,,df,,p,,,,,,
BLUE,red,I,r,5,1,1,r,1,0.7273051,None,1,1,5,2,10.6680935,,,,,10.6444287,10.6680935,11.1375302,11.1375302,11.1375302,,11.8730633,r,1,0.7273051,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.1582335,0.7273051,,CONGRUENT,,-,,INCONGRUENT,,1.549,,9,,0.156,,,,,,
RED,red,C,r,6,2,1,r,1,2.027092,None,1,2,6,0,11.9012968,,,,,11.8788902,11.9012968,12.3871623,12.3871623,12.3871623,,14.421663,r,1,2.027092,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.1363326,0.2151191,,,,,,,,,,,,,,,,,,
BLUE,blue,C,b,7,3,1,r,0,4.6644606,None,1,3,7,3,14.4364473,,,,,14.4271256,14.4364473,14.9376059,14.9376059,14.9376059,19.4383231,19.6051881,r,0,4.6644606,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.053597,0.2000296,,Note.  Student's t-test.,,,,,,,,,,,,,,,,
BLUE,red,I,r,8,0,2,r,1,0.2151191,None,2,0,8,2,19.6194236,,,,,19.6068977,19.6194236,20.1042797,20.1042797,20.1042797,,20.3204768,r,1,0.2151191,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.4147655,0.034563,,,,,,,,,,,,,,,,,,
RED,red,C,r,9,1,2,r,1,0.0536601,None,2,1,9,0,20.3365957,,,,,20.3264321,20.3365957,20.8201246,20.8201246,20.8201246,,20.889072,r,1,0.0536601,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.0974154,0.0954854,,Descriptives,,,,,,,,,,,,,,,,
BLUE,blue,C,b,10,2,2,r,0,0.1582335,None,2,2,10,3,20.9176934,,,,,20.895134,20.9176934,21.4029102,21.4029102,21.4029102,,21.572217,r,0,0.1582335,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.1175308,0.0179942,,Descriptives Plots,,,,,,,,,,,,,,,,
RED,blue,I,b,11,3,2,b,1,0.2000296,None,2,3,11,1,21.6001245,,,,,21.5775269,21.6001245,22.0695205,22.0695205,22.0695205,,22.2720097,b,1,0.2000296,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.1237583,0.0606337,,CONGRUENT - INCONGRUENT,,,,,,,,,,,,,,,,
RED,red,C,r,12,0,3,b,0,0.1363326,None,3,0,12,0,22.2871688,,,,,22.2734808,22.2871688,22.7861869,22.7861869,22.7861869,,22.9385539,b,0,0.1363326,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.0082229,0.1043898,,,,,,,,,,,,,,,,,,
BLUE,blue,C,b,13,1,3,r,0,0.053597,None,3,1,13,3,22.9527662,,,,,22.9441274,22.9527662,23.4369311,23.4369311,23.4369311,,23.5051926,r,0,0.053597,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.2296327,0.1025177,,,,,,,,,,,,,,,,,,
RED,blue,I,b,14,2,3,b,1,0.034563,None,3,2,14,1,23.5354832,,,,,23.5108494,23.5354832,24.0039332,24.0039332,24.0039332,,24.0549733,b,1,0.034563,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.1892889,0.0537574,,,,,,,,Results,,,,,,,,,,
BLUE,red,I,r,15,3,3,b,0,0.0954854,None,3,3,15,2,24.0851865,,,,,24.0614357,24.0851865,24.5533707,24.5533707,24.5533707,,24.6555279,b,0,0.0954854,None,,,,598103,1,2025-08-23_16h07.16.756,stroop effect aditi,,2025.1.1,59.92258002,2025-08-23 16h07.20.482304 +0530,,,,,,,,0.2140546,0.1926497,,Bar Plots,,,,,,Descriptive Statistics,,,,,,,,,,
